id,first_name,last_name,email,phone_number,is_cell,city,state,date_of_birth,likely_voter
1,Fernandina,Comberbach,fcomberbach0@ihg.com,312-355-6876,true,Chicago,IL,7/10/1951,0.6
2,Noreen,Hunnawill,nhunnawill1@bravesites.com,949-863-1367,true,Irvine,CA,2/4/1981,0.115
3,Ezmeralda,Climie,eclimie2@webnode.com,617-637-9682,true,Boston,MA,10/18/1991,0.698
4,Emelyne,Sheather,esheather3@globo.com,646-657-4016,false,New York City,NY,9/13/1971,0.869
5,Hilly,Sprankling,hsprankling4@nifty.com,239-773-6276,false,Naples,FL,3/14/1970,0.129
6,Artemas,Blaschek,ablaschek5@prweb.com,214-458-3525,false,Dallas,TX,6/25/1970,0.408
7,Bayard,Mingardi,bmingardi6@ovh.net,615-409-4551,false,Nashville,TN,9/4/1981,0.904
8,Corenda,Dillingham,cdillingham7@mashable.com,617-867-8603,true,Boston,MA,2/27/2000,0.574
9,Mylo,Churn,mchurn8@gmpg.org,727-976-5771,true,Saint Petersburg,FL,3/6/1964,0.07
10,Joann,Wille,jwille9@amazon.de,312-690-1499,false,Chicago,IL,2/19/1964,0.611
11,Valentina,Ellacott,vellacotta@networksolutions.com,804-853-3938,true,Richmond,VA,10/15/1967,0.605
12,Lucita,Cashmore,lcashmoreb@noaa.gov,530-958-7269,true,Chico,CA,1/3/1952,0.423
13,Gilberte,Edmans,gedmansc@addtoany.com,304-746-0116,false,Charleston,WV,9/16/1963,0.361
14,Rori,Fesby,rfesbyd@1und1.de,916-302-2762,false,Sacramento,CA,8/19/1970,0.675
15,Lillis,Wiggans,lwigganse@springer.com,501-213-9053,true,Little Rock,AR,1/10/1962,0.943
16,Martin,Trittam,mtrittamf@usda.gov,404-362-6085,false,Atlanta,GA,5/13/1980,0.571
17,Gil,Mertsching,gmertschingg@mit.edu,425-607-4198,true,Seattle,WA,7/30/1948,0.006
18,Eileen,Jellico,ejellicoh@soundcloud.com,310-497-7639,false,Los Angeles,CA,11/25/1957,0.735
19,Foster,Gabbatt,fgabbatti@meetup.com,786-721-1000,true,Miami,FL,7/4/1993,0.172
20,Malina,Biset,mbisetj@example.com,816-925-0855,true,Kansas City,MO,9/20/1983,0.514
21,Jordanna,Moncrefe,jmoncrefek@miitbeian.gov.cn,770-648-9225,true,Atlanta,GA,7/7/1991,0.444
22,Sigvard,Enticott,senticottl@ted.com,330-970-6634,true,Akron,OH,3/1/1964,0.647
23,Toddy,Joy,tjoym@japanpost.jp,202-703-0288,true,Washington,DC,11/8/1949,0.01
24,Katina,De Meyer,kdemeyern@springer.com,718-591-2919,true,Jamaica,NY,3/6/1959,0.383
25,Greg,Stocky,gstockyo@geocities.jp,915-662-5693,false,El Paso,TX,3/29/1950,0.475
26,Julina,Venditto,jvendittop@telegraph.co.uk,251-760-3029,false,Mobile,AL,8/2/1967,0.769
27,Jinny,Peddersen,jpeddersenq@51.la,251-798-5782,true,Mobile,AL,7/17/1972,0.117
28,Ginelle,Adamovitch,gadamovitchr@abc.net.au,909-243-0717,true,Pomona,CA,2/21/1954,0.807
29,Brian,Paulisch,bpaulischs@plala.or.jp,616-875-5116,false,Grand Rapids,MI,5/5/1954,0.519
30,Matelda,Revening,mreveningt@angelfire.com,251-387-9408,true,Mobile,AL,2/28/1971,0.828
31,Ted,Eccleshall,teccleshallu@opera.com,415-850-8429,false,San Rafael,CA,9/8/1948,0.687
32,Bennett,Butte,bbuttev@google.com,404-892-3782,false,Atlanta,GA,11/10/1982,0.841
33,Gunter,Peirpoint,gpeirpointw@weather.com,361-919-2754,true,Corpus Christi,TX,5/4/1970,0.025
34,Marybelle,Westphalen,mwestphalenx@cargocollective.com,216-966-1887,true,Cleveland,OH,7/6/1984,0.76
35,Shelley,Orrock,sorrocky@geocities.jp,320-701-0579,false,Saint Cloud,MN,6/11/1982,0.335
36,Lucie,Matityahu,lmatityahuz@linkedin.com,212-318-0855,true,New York City,NY,5/22/1990,0.743
37,Carol-jean,Brundall,cbrundall10@foxnews.com,352-160-4887,true,Brooksville,FL,2/3/1948,0.486
38,Adelle,Furlow,afurlow11@loc.gov,707-298-3451,true,Santa Rosa,CA,1/24/1963,0.736
39,Melisenda,McKirton,mmckirton12@msu.edu,585-540-7121,false,Rochester,NY,12/25/1964,0.77
40,Ursala,Sheards,usheards13@ebay.com,302-102-6283,true,Newark,DE,4/15/1962,0.653
41,Nadia,Lavarack,nlavarack14@wikimedia.org,724-287-2376,true,Pittsburgh,PA,10/30/1975,0.101
42,Pyotr,Bodleigh,pbodleigh15@biblegateway.com,770-903-7043,true,Decatur,GA,11/25/1969,0.038
43,Debby,Goudman,dgoudman16@nature.com,727-268-1355,false,Saint Petersburg,FL,4/6/1972,0.174
44,Angy,Pike,apike17@arstechnica.com,832-683-9334,false,Houston,TX,4/13/1983,0.199
45,Karlens,Wissbey,kwissbey18@1688.com,571-437-6815,false,Alexandria,VA,2/27/1956,0.904
46,Sunshine,Isbell,sisbell19@a8.net,508-820-5062,true,Worcester,MA,5/27/1951,0.614
47,Worden,Dafydd,wdafydd1a@dailymail.co.uk,415-579-6302,false,Oakland,CA,12/2/1985,0.329
48,Ki,Oats,koats1b@spiegel.de,314-590-3887,false,Saint Louis,MO,4/30/2002,0.076
49,Erny,Dicke,edicke1c@cloudflare.com,570-529-4505,false,Wilkes Barre,PA,4/7/1980,0.391
50,Frazier,Harty,fharty1d@geocities.com,260-835-4908,true,Fort Wayne,IN,5/18/1998,0.806
51,Filmore,Rowet,frowet1e@hibu.com,540-705-3044,true,Roanoke,VA,3/22/2000,0.234
52,Tilda,Goudge,tgoudge1f@fastcompany.com,915-529-5640,false,El Paso,TX,2/5/1961,0.093
53,Jacquie,Slayny,jslayny1g@tripadvisor.com,304-251-7799,true,Huntington,WV,7/7/1966,0.99
54,Del,Magister,dmagister1h@weebly.com,678-421-5576,false,Decatur,GA,4/19/1991,0.149
